url	resourceType	transferSize	resourceSize	networkRequestTime	networkEndTime	priority
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/	Document	26579	76259	2.935999870300293	267.8899998664856	VeryHigh
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/draftsman.css	Stylesheet	161626	236776	286.1170001029968	312.4319996833801	VeryHigh
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/analytics.js	Script	706	1021	286.3450002670288	321.9010000228882	Low
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/dati-addizionali-2026.js	Script	246261	4451542	286.51500034332275	331.32600021362305	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/geografia.js	Script	865	1464	286.625	326.106999874115	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/motore.js	Script	15860	46289	286.7130002975464	326.2869997024536	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/fonti.js	Script	1523	3698	286.9739999771118	376.60400009155273	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/righe.js	Script	4680	12756	287.0750002861023	320.29699993133545	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/nucleo.js	Script	1237	2139	287.1720004081726	321.41200017929077	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/sezioni.js	Script	1493	2955	287.2519998550415	320.9140000343323	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/compara.js	Script	9843	27664	287.3489999771118	325.4579997062683	High
https://dovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app/site-nav.js	Script	918	2399	287.42500019073486	329.4099998474121	High
https://vercel.live/_next-live/feedback/feedback.js	Script	157	0	288.55099964141846	494.44000005722046	Low
https://www.googletagmanager.com/gtag/js?id=G-9Y1NYDHTEZ	Script	176713	525981	328.1319999694824	358.92300033569336	Low
https://datafa.st/js/script.js	Script	6579	15376	328.2259998321533	427.79300022125244	Low
data:font/woff2;base64,d09GMgABAAAAAHrIABMAAAABMsAAAHpaAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGoE4G4caHIGa…	Font	31432	31432	335.3340001106262	388.8580002784729	VeryHigh
data:font/woff2;base64,d09GMgABAAAAAV/4ABQAAAADTqAAAV+EAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGpk3G+4wHIpw…	Font	90104	90104	336.74399995803833	390.79100036621094	VeryHigh
data:font/woff2;base64,d09GMgABAAAAAHWMABQAAAAA97wAAHUZAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGoNoG4HyDByG…	Font	30092	30092	337.228000164032	397.42700004577637	VeryHigh
https://region1.google-analytics.com/g/collect?v=2&tid=G-9Y1NYDHTEZ&gtm=45je69n1v9263441121za208zd9263441121xf1&_p=1790336230037&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&are=1&cid=893314588.1790336230&frm=0&ngs=1&pscdl=noapi&rcb=18&sr=412x823&uaa=&uab=64&uafvl=Chromium%3B151.0.7922.34%7CNot%253DA%253FBrand%3B99.0.0.0&uam=moto%20g%20power%20(2022)&uamb=1&uap=Android&uapv=11.0&uaw=0&ul=en-us&_s=1&tag_exp=115616986~115938466~115938469~118897920~118897930~120213116~120385423~120469145~120469153~121280971&sid=1790336230&sct=1&seg=0&dl=https%3A%2F%2Fdovevalatuaral-7d18ql5ga-riccardosartori-outlookcoms-projects.vercel.app%2F&dt=Calcolo%20stipendio%20netto%202026%20dalla%20RAL%20%7C%20Dove%20va%20la%20tua%20RAL&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=545	Fetch	589	0	545.8929996490479	585.7020001411438	High
https://datafa.st/api/events	XHR	159	65	801.6640000343323	1017.4060001373291	High
https://datafa.st/api/events	Preflight	0	0	614.8600001335144	801.5269999504089	High
